Submit datetime, Solver type, Nodes type, #CPUs, Queue type, Input, #Threads, Sort, Real time
04/28/2022 11:26, sequential, 20c, 1, pdp_serial, data/grafs_final/graf-t_AD-n_15-k_7__b.txt, , , 367.832
04/28/2022 11:26, sequential, 20c, 1, pdp_serial, data/grafs_final/graf-t_AD-n_15-k_7-w100_200__b.txt, , , 304.236
04/28/2022 11:26, sequential, 20c, 1, pdp_serial, data/grafs_final/graf-t_AD-n_16-k_6-w80_100__a.txt, , , 399.297
04/28/2022 11:26, sequential, 20c, 1, pdp_serial, data/grafs_final/graf-t_AD-n_18-k_6-w80_100__a.txt, , , 278.966
04/28/2022 11:26, sequential, 20c, 1, pdp_serial, data/grafs_final/graf-t_AD-n_18-k_6-w80_100__b.txt, , , 575.029
04/28/2022 11:26, sequential, 20c, 1, pdp_serial, data/grafs_final/graf-t_AD-n_20-k_5__a.txt, , , 298.083
04/28/2022 11:26, sequential, 20c, 1, pdp_serial, data/grafs_final/graf-t_REG-n_16-k_6__b.txt, , , 266.097
04/28/2022 11:26, sequential, 20c, 1, pdp_serial, data/grafs_final/graf-t_REG-n_18-k_6-w_10_20__b.txt, , , 582.319
04/28/2022 11:26, sequential, 20c, 1, pdp_serial, data/grafs_final/graf-t_AD-n_16-k_6-w80_100__a.txt, 1, sort, inf
04/28/2022 11:26, sequential, 20c, 1, pdp_serial, data/grafs_final/graf-t_AD-n_18-k_6-w80_100__a.txt, 1, sort, inf
04/28/2022 11:26, sequential, 20c, 1, pdp_serial, data/grafs_final/graf-t_AD-n_18-k_6-w80_100__b.txt, 1, sort, inf
04/28/2022 11:26, sequential, 20c, 1, pdp_serial, data/grafs_final/graf-t_AD-n_20-k_5__a.txt, 1, sort, inf
04/28/2022 11:26, sequential, 20c, 1, pdp_serial, data/grafs_final/graf-t_REG-n_16-k_6__b.txt, 1, sort, 429.632
04/28/2022 11:26, sequential, 20c, 1, pdp_serial, data/grafs_final/graf-t_REG-n_18-k_6-w_10_20__b.txt, 1, sort, inf
04/28/2022 11:26, sequential, 20c, 1, pdp_serial, data/grafs_final/graf-t_AD-n_15-k_7__b.txt, 1, sort, inf
04/28/2022 11:26, sequential, 20c, 1, pdp_serial, data/grafs_final/graf-t_AD-n_15-k_7-w100_200__b.txt, 1, sort, inf
04/28/2022 11:29, distributed, 20c, 3, pdp_long, data/grafs_final/graf-t_AD-n_15-k_7__b.txt, , , 39.630
04/28/2022 11:29, distributed, 20c, 3, pdp_long, data/grafs_final/graf-t_AD-n_15-k_7-w100_200__b.txt, , , 60.007
04/28/2022 11:29, distributed, 20c, 3, pdp_long, data/grafs_final/graf-t_AD-n_16-k_6-w80_100__a.txt, , , 65.503
04/28/2022 11:29, distributed, 20c, 3, pdp_long, data/grafs_final/graf-t_AD-n_18-k_6-w80_100__a.txt, , , 45.507
04/28/2022 11:29, distributed, 20c, 3, pdp_long, data/grafs_final/graf-t_AD-n_18-k_6-w80_100__b.txt, , , 108.848
04/28/2022 11:29, distributed, 20c, 3, pdp_long, data/grafs_final/graf-t_AD-n_20-k_5__a.txt, , , 63.392
04/28/2022 11:29, distributed, 20c, 3, pdp_long, data/grafs_final/graf-t_REG-n_16-k_6__b.txt, , , 81.883
04/28/2022 11:29, distributed, 20c, 3, pdp_long, data/grafs_final/graf-t_REG-n_18-k_6-w_10_20__b.txt, , , 114.233
04/28/2022 11:29, distributed, 20c, 4, pdp_long, data/grafs_final/graf-t_AD-n_15-k_7__b.txt, , , 50.251
04/28/2022 11:29, distributed, 20c, 4, pdp_long, data/grafs_final/graf-t_AD-n_15-k_7-w100_200__b.txt, , , 29.119
04/28/2022 11:29, distributed, 20c, 4, pdp_long, data/grafs_final/graf-t_AD-n_16-k_6-w80_100__a.txt, , , 45.132
04/28/2022 11:29, distributed, 20c, 4, pdp_long, data/grafs_final/graf-t_AD-n_18-k_6-w80_100__a.txt, , , 103.235
